Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 66.0.3359.139,,2018-05-07 13:56:32,2018-05-07 13:57:05,32.997s,FAILED
,,,,,,
Test Cases/Testcase1,Chrome 66.0.3359.139,Manager Login & Logout,2018-05-07 13:56:32,2018-05-07 13:56:45,13.010s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-07 13:56:33,2018-05-07 13:56:35,2.833s,PASSED
navigateToUrl,Chrome 66.0.3359.139,Open Url\r\n,2018-05-07 13:56:35,2018-05-07 13:56:38,2.293s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 13:56:38,2018-05-07 13:56:38,0.219s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 13:56:38,2018-05-07 13:56:38,0.110s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:56:38,2018-05-07 13:56:41,2.932s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:56:41,2018-05-07 13:56:42,1.423s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 13:56:42,2018-05-07 13:56:43,0.123s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:56:43,2018-05-07 13:56:43,0.091s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:56:43,2018-05-07 13:56:43,0.408s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:56:43,2018-05-07 13:56:43,0.036s,FAILED
,,,,,,
Test Cases/Testcase2,Chrome 66.0.3359.139,,2018-05-07 13:56:45,2018-05-07 13:57:05,19.679s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-07 13:56:45,2018-05-07 13:56:48,2.614s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-07 13:56:48,2018-05-07 13:56:50,2.178s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 13:56:50,2018-05-07 13:56:50,0.174s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 13:56:50,2018-05-07 13:56:50,0.127s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:56:50,2018-05-07 13:56:53,2.181s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:56:53,2018-05-07 13:56:53,0.112s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-07 13:56:53,2018-05-07 13:56:55,1.933s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:56:55,2018-05-07 13:56:55,0.171s,PASSED
switchToWindowTitle,Chrome 66.0.3359.139,,2018-05-07 13:56:55,2018-05-07 13:57:00,5.188s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:57:00,2018-05-07 13:57:00,0.083s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:57:00,2018-05-07 13:57:00,0.156s,PASSED
switchToWindowTitle,Chrome 66.0.3359.139,,2018-05-07 13:57:00,2018-05-07 13:57:00,0.086s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:57:00,2018-05-07 13:57:00,0.098s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-07 13:57:00,2018-05-07 13:57:01,0.993s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:57:01,2018-05-07 13:57:02,0.732s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-07 13:57:02,2018-05-07 13:57:03,0.649s,PASSED
